Model,Accuracy,Precision,Recall,F1-Score
Support Vector Machine,0.8608695652173913,0.8269230769230769,0.86,0.8431372549019608
Logistic Regression,0.8434782608695652,0.8636363636363636,0.76,0.8085106382978723
Decision Tree,0.9391304347826087,0.9056603773584906,0.96,0.9320388349514563
Neural Network,0.8434782608695652,0.8333333333333334,0.8,0.8163265306122449
Decision Tree Traditional,0.8956521739130435,0.8275862068965517,0.96,0.8888888888888888
Logistic Regression Traditional,0.8434782608695652,0.8636363636363636,0.76,0.8085106382978723
Support Vector Machine Traditional,0.8173913043478261,0.7959183673469388,0.78,0.7878787878787878
